"Node"	"Coverage"
"1+"	"258361"
"1-"	"258361"
"10+"	"72940"
"10-"	"72940"
"100+"	"318"
"100-"	"318"
"101+"	"312"
"101-"	"312"
"102+"	"275"
"102-"	"275"
"103+"	"269"
"103-"	"269"
"104+"	"263"
"104-"	"263"
"105+"	"260"
"105-"	"260"
"106+"	"259"
"106-"	"259"
"107+"	"258"
"107-"	"258"
"108+"	"253"
"108-"	"253"
"109+"	"251"
"109-"	"251"
"11+"	"68232"
"11-"	"68232"
"110+"	"243"
"110-"	"243"
"111+"	"241"
"111-"	"241"
"112+"	"240"
"112-"	"240"
"113+"	"233"
"113-"	"233"
"114+"	"214"
"114-"	"214"
"115+"	"210"
"115-"	"210"
"116+"	"206"
"116-"	"206"
"117+"	"174"
"117-"	"174"
"118+"	"167"
"118-"	"167"
"119+"	"162"
"119-"	"162"
"12+"	"67605"
"12-"	"67605"
"120+"	"153"
"120-"	"153"
"121+"	"151"
"121-"	"151"
"122+"	"149"
"122-"	"149"
"123+"	"148"
"123-"	"148"
"124+"	"147"
"124-"	"147"
"125+"	"146"
"125-"	"146"
"126+"	"143"
"126-"	"143"
"127+"	"140"
"127-"	"140"
"128+"	"135"
"128-"	"135"
"129+"	"134"
"129-"	"134"
"13+"	"60571"
"13-"	"60571"
"130+"	"134"
"130-"	"134"
"131+"	"133"
"131-"	"133"
"132+"	"130"
"132-"	"130"
"133+"	"129"
"133-"	"129"
"134+"	"129"
"134-"	"129"
"135+"	"129"
"135-"	"129"
"136+"	"129"
"136-"	"129"
"137+"	"129"
"137-"	"129"
"138+"	"129"
"138-"	"129"
"139+"	"129"
"139-"	"129"
"14+"	"59821"
"14-"	"59821"
"140+"	"129"
"140-"	"129"
"141+"	"128"
"141-"	"128"
"142+"	"128"
"142-"	"128"
"143+"	"128"
"143-"	"128"
"144+"	"128"
"144-"	"128"
"145+"	"128"
"145-"	"128"
"146+"	"128"
"146-"	"128"
"147+"	"128"
"147-"	"128"
"148+"	"128"
"148-"	"128"
"149+"	"128"
"149-"	"128"
"15+"	"59154"
"15-"	"59154"
"150+"	"128"
"150-"	"128"
"151+"	"128"
"151-"	"128"
"152+"	"128"
"152-"	"128"
"153+"	"128"
"153-"	"128"
"154+"	"128"
"154-"	"128"
