"Prob_Chromosome"	"Prob_Plasmid"	"Prediction"	"Contig_name"	"Contig_length"
0.997877578436351	0.00212242156364861	"Chromosome"	"1+"	258361
0.997178449423889	0.00282155057611133	"Chromosome"	"1-"	258361
0.987514928441182	0.0124850715588181	"Chromosome"	"10+"	72940
0.997189985666573	0.00281001433342709	"Chromosome"	"10-"	72940
0.540790259060125	0.459209740939875	"Chromosome"	"100+"	318
0.698083288201455	0.301916711798545	"Chromosome"	"100-"	318
0.505736547347989	0.494263452652011	"Chromosome"	"101+"	312
0.505736548434846	0.494263451565154	"Chromosome"	"101-"	312
0.465434054434934	0.534565945565066	"Plasmid"	"102+"	275
0.401994251749438	0.598005748250562	"Plasmid"	"102-"	275
0.543102562638279	0.456897437361721	"Chromosome"	"103+"	269
0.510803661449369	0.489196338550631	"Chromosome"	"103-"	269
0.467653149214602	0.532346850785398	"Plasmid"	"104+"	263
0.506516011561225	0.493483988438775	"Chromosome"	"104-"	263
0.508229881676666	0.491770118323334	"Chromosome"	"105+"	260
0.524604639573547	0.475395360426453	"Chromosome"	"105-"	260
0.514718341480337	0.485281658519663	"Chromosome"	"106+"	259
0.512234601895436	0.487765398104564	"Chromosome"	"106-"	259
0.528320909692313	0.471679090307687	"Chromosome"	"107+"	258
0.491594125167217	0.508405874832783	"Plasmid"	"107-"	258
0.499903800510867	0.500096199489133	"Plasmid"	"108+"	253
0.505431753449122	0.494568246550878	"Chromosome"	"108-"	253
0.455703581942708	0.544296418057292	"Plasmid"	"109+"	251
0.414350687896061	0.585649312103939	"Plasmid"	"109-"	251
0.998147610866094	0.00185238913390573	"Chromosome"	"11+"	68232
0.996192916246247	0.00380708375375327	"Chromosome"	"11-"	68232
0.507001606632087	0.492998393367913	"Chromosome"	"110+"	243
0.519010038336231	0.480989961663769	"Chromosome"	"110-"	243
0.547031235014611	0.452968764985389	"Chromosome"	"111+"	241
0.507033793475348	0.492966206524652	"Chromosome"	"111-"	241
0.523152910774481	0.476847089225519	"Chromosome"	"112+"	240
0.531652790369462	0.468347209630538	"Chromosome"	"112-"	240
0.523180210545976	0.476819789454024	"Chromosome"	"113+"	233
0.530615165766102	0.469384834233898	"Chromosome"	"113-"	233
0.50574623254251	0.49425376745749	"Chromosome"	"114+"	214
0.505741688551714	0.494258311448286	"Chromosome"	"114-"	214
0.505821506095925	0.494178493904075	"Chromosome"	"115+"	210
0.505790932751316	0.494209067248684	"Chromosome"	"115-"	210
0.505932819178574	0.494067180821426	"Chromosome"	"116+"	206
0.508186750166763	0.491813249833237	"Chromosome"	"116-"	206
0.509013963631034	0.490986036368966	"Chromosome"	"117+"	174
0.505563391616803	0.494436608383197	"Chromosome"	"117-"	174
0.505749177090407	0.494250822909593	"Chromosome"	"118+"	167
0.505750934805635	0.494249065194365	"Chromosome"	"118-"	167
0.505736642527672	0.494263357472328	"Chromosome"	"119+"	162
0.505736806911452	0.494263193088548	"Chromosome"	"119-"	162
0.992425773696373	0.00757422630362681	"Chromosome"	"12+"	67605
0.97990399431409	0.0200960056859102	"Chromosome"	"12-"	67605
0.50881331785912	0.49118668214088	"Chromosome"	"120+"	153
0.508210338601458	0.491789661398542	"Chromosome"	"120-"	153
0.505521075083787	0.494478924916213	"Chromosome"	"121+"	151
0.505613227417158	0.494386772582842	"Chromosome"	"121-"	151
0.505793269074786	0.494206730925214	"Chromosome"	"122+"	149
0.505830894536861	0.494169105463139	"Chromosome"	"122-"	149
0.507014531479051	0.492985468520949	"Chromosome"	"123+"	148
0.507977389423405	0.492022610576595	"Chromosome"	"123-"	148
0.506743363166394	0.493256636833606	"Chromosome"	"124+"	147
0.505587050576392	0.494412949423609	"Chromosome"	"124-"	147
0.505809221272532	0.494190778727468	"Chromosome"	"125+"	146
0.505788260960899	0.494211739039101	"Chromosome"	"125-"	146
0.507070240876747	0.492929759123253	"Chromosome"	"126+"	143
0.50744148260269	0.49255851739731	"Chromosome"	"126-"	143
0.505736547977444	0.494263452022556	"Chromosome"	"127+"	140
0.505736547936743	0.494263452063257	"Chromosome"	"127-"	140
0.505733826667225	0.494266173332775	"Chromosome"	"128+"	135
