"Node"	"Coverage"
"1+"	"137576"
"1-"	"137576"
"10+"	"69577"
"10-"	"69577"
"100+"	"2314"
"100-"	"2314"
"101+"	"2241"
"101-"	"2241"
"102+"	"2200"
"102-"	"2200"
"103+"	"2144"
"103-"	"2144"
"104+"	"1899"
"104-"	"1899"
"105+"	"1787"
"105-"	"1787"
"106+"	"1773"
"106-"	"1773"
"107+"	"1733"
"107-"	"1733"
"108+"	"1694"
"108-"	"1694"
"109+"	"1672"
"109-"	"1672"
"11+"	"64455"
"11-"	"64455"
"110+"	"1514"
"110-"	"1514"
"111+"	"1514"
"111-"	"1514"
"112+"	"1502"
"112-"	"1502"
"113+"	"1466"
"113-"	"1466"
"114+"	"1403"
"114-"	"1403"
"115+"	"1366"
"115-"	"1366"
"116+"	"1361"
"116-"	"1361"
"117+"	"1359"
"117-"	"1359"
"118+"	"1352"
"118-"	"1352"
"119+"	"1314"
"119-"	"1314"
"12+"	"62181"
"12-"	"62181"
"120+"	"1256"
"120-"	"1256"
"121+"	"1256"
"121-"	"1256"
"122+"	"1237"
"122-"	"1237"
"123+"	"1223"
"123-"	"1223"
"124+"	"1219"
"124-"	"1219"
"125+"	"1154"
"125-"	"1154"
"126+"	"1093"
"126-"	"1093"
"127+"	"1084"
"127-"	"1084"
"128+"	"1054"
"128-"	"1054"
"129+"	"1041"
"129-"	"1041"
"13+"	"60563"
"13-"	"60563"
"130+"	"1039"
"130-"	"1039"
"131+"	"1030"
"131-"	"1030"
"132+"	"941"
"132-"	"941"
"133+"	"933"
"133-"	"933"
"134+"	"895"
"134-"	"895"
"135+"	"884"
"135-"	"884"
"136+"	"755"
"136-"	"755"
"137+"	"737"
"137-"	"737"
"138+"	"728"
"138-"	"728"
"139+"	"716"
"139-"	"716"
"14+"	"56932"
"14-"	"56932"
"140+"	"696"
"140-"	"696"
"141+"	"637"
"141-"	"637"
"142+"	"549"
"142-"	"549"
"143+"	"534"
"143-"	"534"
"144+"	"529"
"144-"	"529"
"145+"	"522"
"145-"	"522"
"146+"	"522"
"146-"	"522"
"147+"	"520"
"147-"	"520"
"148+"	"506"
"148-"	"506"
"149+"	"504"
"149-"	"504"
"15+"	"56057"
"15-"	"56057"
"150+"	"504"
"150-"	"504"
"151+"	"489"
"151-"	"489"
"152+"	"476"
"152-"	"476"
"153+"	"472"
"153-"	"472"
"154+"	"470"
"154-"	"470"
"155+"	"448"
"155-"	"448"
"156+"	"441"
"156-"	"441"
"157+"	"430"
"157-"	"430"
"158+"	"429"
"158-"	"429"
"159+"	"397"
"159-"	"397"
"16+"	"55939"
"16-"	"55939"
"160+"	"364"
"160-"	"364"
"161+"	"356"
"161-"	"356"
"162+"	"341"
"162-"	"341"
"163+"	"329"
"163-"	"329"
"164+"	"319"
"164-"	"319"
"165+"	"318"
"165-"	"318"
"166+"	"316"
"166-"	"316"
"167+"	"315"
"167-"	"315"
"168+"	"314"
"168-"	"314"
"169+"	"307"
"169-"	"307"
"17+"	"52313"
"17-"	"52313"
"170+"	"289"
"170-"	"289"
"171+"	"281"
"171-"	"281"
"172+"	"278"
"172-"	"278"
"173+"	"259"
"173-"	"259"
"174+"	"253"
"174-"	"253"
"175+"	"253"
"175-"	"253"
"176+"	"253"
"176-"	"253"
"177+"	"253"
"177-"	"253"
"178+"	"253"
"178-"	"253"
"179+"	"252"
"179-"	"252"
"18+"	"51865"
"18-"	"51865"
"180+"	"251"
"180-"	"251"
"181+"	"251"
"181-"	"251"
"182+"	"251"
"182-"	"251"
"183+"	"250"
"183-"	"250"
"184+"	"249"
"184-"	"249"
"185+"	"247"
"185-"	"247"
"186+"	"246"
"186-"	"246"
"187+"	"246"
"187-"	"246"
"188+"	"246"
"188-"	"246"
"189+"	"237"
"189-"	"237"
"19+"	"50252"
"19-"	"50252"
"190+"	"229"
"190-"	"229"
"191+"	"227"
"191-"	"227"
"192+"	"220"
"192-"	"220"
"193+"	"218"
"193-"	"218"
"194+"	"210"
"194-"	"210"
"195+"	"210"
"195-"	"210"
"196+"	"209"
"196-"	"209"
"197+"	"205"
