"Node"	"Coverage"
"1+"	"264808"
"1-"	"264808"
"10+"	"95173"
"10-"	"95173"
"100+"	"129"
"100-"	"129"
"101+"	"128"
"101-"	"128"
"102+"	"128"
"102-"	"128"
"103+"	"128"
"103-"	"128"
"104+"	"128"
"104-"	"128"
"105+"	"128"
"105-"	"128"
"106+"	"128"
"106-"	"128"
"107+"	"128"
"107-"	"128"
"108+"	"128"
"108-"	"128"
"109+"	"128"
"109-"	"128"
"11+"	"93639"
"11-"	"93639"
"12+"	"79405"
"12-"	"79405"
"13+"	"59914"
"13-"	"59914"
"14+"	"49338"
"14-"	"49338"
"15+"	"46018"
"15-"	"46018"
"16+"	"27201"
"16-"	"27201"
"17+"	"27136"
"17-"	"27136"
"18+"	"26774"
"18-"	"26774"
"19+"	"24543"
"19-"	"24543"
"2+"	"253499"
"2-"	"253499"
"20+"	"23760"
"20-"	"23760"
"21+"	"22663"
"21-"	"22663"
"22+"	"22289"
"22-"	"22289"
"23+"	"21660"
"23-"	"21660"
"24+"	"20617"
"24-"	"20617"
"25+"	"18505"
"25-"	"18505"
"26+"	"16894"
"26-"	"16894"
"27+"	"16188"
"27-"	"16188"
"28+"	"16175"
"28-"	"16175"
"29+"	"13284"
"29-"	"13284"
"3+"	"238433"
"3-"	"238433"
"30+"	"7841"
"30-"	"7841"
"31+"	"7218"
"31-"	"7218"
"32+"	"6135"
"32-"	"6135"
"33+"	"4702"
"33-"	"4702"
"34+"	"3552"
"34-"	"3552"
"35+"	"3364"
"35-"	"3364"
"36+"	"2909"
"36-"	"2909"
"37+"	"2638"
"37-"	"2638"
"38+"	"2607"
"38-"	"2607"
"39+"	"2260"
"39-"	"2260"
"4+"	"217148"
"4-"	"217148"
"40+"	"2165"
"40-"	"2165"
"41+"	"1809"
"41-"	"1809"
"42+"	"1643"
"42-"	"1643"
"43+"	"1527"
"43-"	"1527"
"44+"	"1466"
"44-"	"1466"
"45+"	"1415"
"45-"	"1415"
"46+"	"1338"
"46-"	"1338"
"47+"	"1040"
"47-"	"1040"
"48+"	"992"
"48-"	"992"
"49+"	"873"
"49-"	"873"
"5+"	"203829"
"5-"	"203829"
"50+"	"827"
"50-"	"827"
"51+"	"794"
"51-"	"794"
"52+"	"750"
"52-"	"750"
"53+"	"739"
"53-"	"739"
"54+"	"737"
"54-"	"737"
"55+"	"736"
"55-"	"736"
"56+"	"716"
"56-"	"716"
"57+"	"637"
"57-"	"637"
"58+"	"585"
"58-"	"585"
"59+"	"507"
"59-"	"507"
"6+"	"191650"
"6-"	"191650"
"60+"	"493"
"60-"	"493"
"61+"	"467"
"61-"	"467"
"62+"	"455"
"62-"	"455"
"63+"	"444"
"63-"	"444"
"64+"	"428"
"64-"	"428"
"65+"	"362"
"65-"	"362"
"66+"	"356"
"66-"	"356"
"67+"	"342"
"67-"	"342"
"68+"	"313"
"68-"	"313"
"69+"	"288"
"69-"	"288"
"7+"	"176624"
"7-"	"176624"
"70+"	"287"
"70-"	"287"
"71+"	"259"
"71-"	"259"
"72+"	"255"
"72-"	"255"
"73+"	"254"
"73-"	"254"
"74+"	"254"
"74-"	"254"
"75+"	"253"
"75-"	"253"
"76+"	"232"
"76-"	"232"
"77+"	"210"
"77-"	"210"
"78+"	"200"
"78-"	"200"
"79+"	"199"
"79-"	"199"
"8+"	"175156"
"8-"	"175156"
"80+"	"198"
"80-"	"198"
"81+"	"194"
"81-"	"194"
"82+"	"189"
"82-"	"189"
"83+"	"186"
"83-"	"186"
"84+"	"184"
"84-"	"184"
"85+"	"183"
"85-"	"183"
"86+"	"179"
"86-"	"179"
"87+"	"173"
"87-"	"173"
"88+"	"169"
"88-"	"169"
"89+"	"160"
"89-"	"160"
"9+"	"122450"
"9-"	"122450"
"90+"	"159"
"90-"	"159"
"91+"	"158"
"91-"	"158"
"92+"	"157"
"92-"	"157"
"93+"	"155"
"93-"	"155"
"94+"	"153"
"94-"	"153"
"95+"	"150"
"95-"	"150"
"96+"	"149"
"96-"	"149"
"97+"	"147"
"97-"	"147"
"98+"	"129"
"98-"	"129"
"99+"	"129"
"99-"	"129"
